cell	CL:0000000
stem cells	CL:0000034
SCs	CL:0000034
SC	CL:0000034
resident stem cells	CL:0000034
stem/progenitor cell	CL:0000034
cycling stem cell	CL:0000034
stem	CL:0000034
stem and progenitor cell	CL:0000034
stem and progenitor cells	CL:0000034
stem/progenitor cells	CL:0000034
single fate stem cell	CL:0000035
unipotential stem cell	CL:0000035
unipotent stem cell	CL:0000035
epithelial fate stem cell	CL:0000036
epithelial stem cell	CL:0000036
epithelial stem cells	CL:0000036
hematopoietic stem cell	CL:0000037
hemopoietic stem cell	CL:0000037
blood forming stem cell	CL:0000037
HSCs	CL:0000037
HPSC	CL:0000037
HSPCs	CL:0000037
hematopoietic stem cells	CL:0000037
HSC	CL:0000037
multipotent HSCs	CL:0000037
HSPC cell	CL:0000037
bone marrow HSCs	CL:0000037
Multipotent haematopoietic stem cells	CL:0000037
hematopoietic stem and progenitor cells	CL:0000037
HSPC	CL:0000037
haematopoietic stem cells	CL:0000037
haematopoietic stem cell	CL:0000037
hematopoietic stem and progenitor cell	CL:0000037
hematopoietic stem/progenitor cells	CL:0000037
haematopoietic stem (HS) cell	CL:0000037
HS cells	CL:0000037
multipotent HSC	CL:0000037
erythroid progenitor cell	CL:0000038
erythroid progenitors	CL:0000038
Burst forming units	CL:0000038
BFU-E	CL:0000038
EPCs	CL:0000038
Erythroid progenitor cells	CL:0000038
Ery HPC	CL:0000038
erythroid precursor cells	CL:0000038
germ line cell	CL:0000039
monoblast	CL:0000040
monoblasts	CL:0000040
monocyte progenitors	CL:0000040
mature eosinophil	CL:0000041
mature eosinophil leukocyte	CL:0000041
mature eosinocyte	CL:0000041
mature eosinophil leucocyte	CL:0000041
neutrophilic myeloblast	CL:0000042
mature basophil	CL:0000043
mature basophil leucocyte	CL:0000043
mature basophil leukocyte	CL:0000043
neural stem cell	CL:0000047
neuronal stem cell	CL:0000047
NSC	CL:0000047
Neural Stem Cells	CL:0000047
neuronal stem cells	CL:0000047
neuroectoderm and glia to central nervous system (CNS) neurons	CL:0000047
EdU+ NSCs	CL:0000047
NSPC	CL:0000047
neural stem and progenitor cell	CL:0000047
qNSC	CL:0000047
NSCs	CL:0000047
multi fate stem cell	CL:0000048
multi-fate stem cell	CL:0000048
multipotent stem cell	CL:0000048
multipotent cell	CL:0000048
multifate stem cell	CL:0000048
MPPs	CL:0000048
multipotent progenitor cells	CL:0000048
multipotent progenitors	CL:0000048
Multipotent adult progenitor cells	CL:0000048
MAPC	CL:0000048
common myeloid progenitor	CL:0000049
common myeloid precursor	CL:0000049
common myeloid progenitors	CL:0000049
CMPs	CL:0000049
myeloid bone marrow progenitors	CL:0000049
CMP	CL:0000049
Ly-My progenitors	CL:0000049
myeloid progenitors	CL:0000049
hematopoietic and myeloid progenitors	CL:0000049
megakaryocyte-erythroid progenitor cell	CL:0000050
CFU-MegE	CL:0000050
CFU-EM	CL:0000050
colony forming unit erythroid megakaryocyte	CL:0000050
Meg/E progenitor	CL:0000050
megakaryocyte/erythrocyte progenitor	CL:0000050
megakaryocyte/erythroid progenitor cell	CL:0000050
MEP	CL:0000050
megakaryocyte-erythroid progenitors	CL:0000050
MEPs	CL:0000050
Ery-Mk progenitors	CL:0000050
megakaryocytic-erythroid or myeloid precursors	CL:0000050
megakaryocytic-erythroid progenitor	CL:0000050
megakaryocyte-erythrocyte progenitor cells	CL:0000050
common lymphoid progenitor	CL:0000051
common lymphocyte progenitor	CL:0000051
common lymphoid precursor	CL:0000051
common lymphocyte precursor	CL:0000051
common lymphoid progenitors	CL:0000051
CLPs	CL:0000051
lymphoid	CL:0000051
Ly-My progenitors	CL:0000051
CLP	CL:0000051
totipotent stem cell	CL:0000052
totipotential stem cell	CL:0000052
bone matrix secreting cell	CL:0000054
non-terminally differentiated cell	CL:0000055
blast cell	CL:0000055
Blasts	CL:0000055
myoblast	CL:0000056
myoblasts	CL:0000056
fibroblast	CL:0000057
fibroblasts	CL:0000057
fibroblast cells	CL:0000057
Fibro	CL:0000057
FB	CL:0000057
Fib	CL:0000057
Stromal fibroblasts	CL:0000057
fibroblast cell	CL:0000057
matrix fibroblasts	CL:0000057
chondroblast	CL:0000058
chrondoplast	CL:0000058
chondrogenic fibroblasts	CL:0000058
Chondroblastic	CL:0000058
ameloblast	CL:0000059
enamel secreting cell	CL:0000059
amelocyte	CL:0000059
epithelial-derived ameloblasts	CL:0000059
odontoblast	CL:0000060
odontoblasts	CL:0000060
cementoblast	CL:0000061
cementum secreting cell	CL:0000061
osteoblast	CL:0000062
Osteoblasts	CL:0000062
Mature osteoblasts	CL:0000062
osteoblastic	CL:0000062
OB	CL:0000062
osteoblastic and osteocytic cells	CL:0000062
osteoblast/clast	CL:0000062
ciliated cell	CL:0000064
ciliated cells	CL:0000064
ependymal cell	CL:0000065
ependymal cells	CL:0000065
Epend	CL:0000065
EPC	CL:0000065
Ependymocytes	CL:0000065
spinal cord ependymal cells	CL:0000065
epithelial cell	CL:0000066
epitheliocyte	CL:0000066
epithelial- and mesenchymal-cell	CL:0000066
epithelial cells	CL:0000066
epithelial-epithelial and epithelial-stromal cells	CL:0000066
epithelial and stromal cell	CL:0000066
Epithelial/Cancer Cell	CL:0000066
epithelial	CL:0000066
epithelial nor immune cells	CL:0000066
epithelial/cancer cells	CL:0000066
epithelial and mesenchymal cell	CL:0000066
stromal-epithelial cell	CL:0000066
ciliated epithelial cell	CL:0000067
Ciliated Cell	CL:0000067
Ciliated	CL:0000067
epithelial cells (Ciliated)	CL:0000067
FOXJ1+ -ciliated cells	CL:0000067
duct epithelial cell	CL:0000068
ductal epithelial	CL:0000068
branched duct epithelial cell	CL:0000069
blood vessel endothelial cell	CL:0000071
Lymphatic and blood vascular endothelial cells	CL:0000071
lymphatic and blood vascular ECs	CL:0000071
lymphatic versus blood vascular ECs	CL:0000071
blood vascular endothelial	CL:0000071
lymphatic and blood vascular endothelial	CL:0000071
BECs	CL:0000071
non-branched duct epithelial cell	CL:0000072
columnar/cuboidal epithelial cell	CL:0000075
squamous epithelial cell	CL:0000076
squamous epithelial cells	CL:0000076
mesothelial cell	CL:0000077
mesotheliocyte	CL:0000077
mesothelial cells	CL:0000077
MSCs	CL:0000077
Lymphaticendophyllia, Mesothelial and Neuroendocrine cells	CL:0000077
mesothelial	CL:0000077
peridermal cell	CL:0000078
stratified epithelial cell	CL:0000079
circulating cell	CL:0000080
circulating blood or bone-marrow-derived cells	CL:0000080
blood cell	CL:0000081
blood and immune cells	CL:0000081
low-density peripheral blood cells	CL:0000081
peripheral blood cell	CL:0000081
blood cells	CL:0000081
Blood and vascular cell	CL:0000081
peripheral blood cells	CL:0000081
epithelial cell of lung	CL:0000082
lung epithelial cell	CL:0000082
lung cellular	CL:0000082
lung epithelial	CL:0000082
epithelial cells	CL:0000082
epithelial cell of pancreas	CL:0000083
pancreas epithelial cell	CL:0000083
pancreatic epithelial cell	CL:0000083
epithelial cells	CL:0000083
T cell	CL:0000084
T-lymphocyte	CL:0000084
T lymphocyte	CL:0000084
T-cell	CL:0000084
T cells	CL:0000084
T lymphocytes	CL:0000084
T- and B-cell	CL:0000084
T and B cells	CL:0000084
T-cells	CL:0000084
TC	CL:0000084
T	CL:0000084
T, B, and myeloid cells	CL:0000084
T and B lymphocytes	CL:0000084
heterogeneous T (Thet) cells	CL:0000084
heterogeneous T cell	CL:0000084
Thet	CL:0000084
Tconv cells	CL:0000084
T-lymphocytes	CL:0000084
T-lympho	CL:0000084
NK and T cells	CL:0000084
NKT	CL:0000084
Myeloid, and T/NK cells	CL:0000084
CD3D+ T cells	CL:0000084
T/NK cells	CL:0000084
T, B, and NK cells	CL:0000084
T and B cell	CL:0000084
T and NK cells	CL:0000084
B and T cell	CL:0000084
NK and T cell	CL:0000084
Tconv	CL:0000084
B and T-cells	CL:0000084
T_cells	CL:0000084
peripheral blood T cells	CL:0000084
CD3 T cells	CL:0000084
B, plasma, and T/NK cells	CL:0000084
CD3 + or CD8 + T lymphocytes	CL:0000084
T- and NK cells	CL:0000084
natural killer and T cells	CL:0000084
NKT cells	CL:0000084
NKT cell	CL:0000084
T-lympho and CD8T2 cells	CL:0000084
T, B, NK, and Treg lymphocyte	CL:0000084
Kupffer cell	CL:0000091
von Kupffer cell	CL:0000091
stellate cell of von Kupffer	CL:0000091
hepatic macrophage	CL:0000091
macrophagocytus stellatus	CL:0000091
littoral cell of hepatic sinusoid	CL:0000091
liver macrophage	CL:0000091
Kupffer cells	CL:0000091
KCs	CL:0000091
osteoclast	CL:0000092
Osteoclasts	CL:0000092
osteoclastic	CL:0000092
OC	CL:0000092
mOCs	CL:0000092
osteoclast cells	CL:0000092
osteoblast/clast	CL:0000092
granulocyte	CL:0000094
granular leucocyte	CL:0000094
granular leukocyte	CL:0000094
polymorphonuclear leukocyte	CL:0000094
granulocytes	CL:0000094
activated granulocytes	CL:0000094
PMN	CL:0000094
granulocytic	CL:0000094
Gran	CL:0000094
granulocytic cells	CL:0000094
granulocytic cell	CL:0000094
GN	CL:0000094
granulocyte cells	CL:0000094
Gra	CL:0000094
GNs	CL:0000094
granulocytic (G), monocytic (M), erythroid (E), and megakaryocytic (Mk) cells	CL:0000094
G, M, E, and Mk cells	CL:0000094
neuron associated cell	CL:0000095
mature neutrophil	CL:0000096
PMN	CL:0000096
mature neutrocyte	CL:0000096
mature neutrophil leucocyte	CL:0000096
polymorphonuclear neutrophil	CL:0000096
polynuclear neutrophilic leukocyte	CL:0000096
mature neutrophilic leukocyte	CL:0000096
polynuclear neutrophilic leucocyte	CL:0000096
mature neutrophilic leucocyte	CL:0000096
mature neutrophil leukocyte	CL:0000096
mature neutrophils	CL:0000096
polymorphonuclear neutrophils	CL:0000096
PMNs	CL:0000096
mast cell	CL:0000097
labrocyte	CL:0000097
histaminocyte	CL:0000097
mastocyte	CL:0000097
mast cells	CL:0000097
mast and dendritic cells	CL:0000097
MCs	CL:0000097
M	CL:0000097
MC	CL:0000097
Mast cell degranulation	CL:0000097
Mast.cells.resting	CL:0000097
TPSAB1+ mast cells	CL:0000097
basophil/mast cells	CL:0000097
Mast	CL:0000097
CD117 mast cells	CL:0000097
sensory epithelial cell	CL:0000098
interneuron	CL:0000099
IN	CL:0000099
interneurons	CL:0000099
PV-INs	CL:0000099
motor neuron	CL:0000100
motoneuron	CL:0000100
motor neurons	CL:0000100
motoneurons	CL:0000100
motor neuronal	CL:0000100
sensory and motor neurons	CL:0000100
sensory neuron	CL:0000101
sensory neurons	CL:0000101
sensory and motor neurons	CL:0000101
polymodal neuron	CL:0000102
bipolar neuron	CL:0000103
bipolar (BP) neurons	CL:0000103
BP cells	CL:0000103
multipolar neuron	CL:0000104
pseudounipolar neuron	CL:0000105
unipolar neuron	CL:0000106
autonomic neuron	CL:0000107
cholinergic neuron	CL:0000108
cholinergic neurons	CL:0000108
BRAIN cholinergic neurons	CL:0000108
cholinergic and monoaminergic neurons	CL:0000108
cholinergic	CL:0000108
ChNs	CL:0000108
adrenergic neuron	CL:0000109
peptidergic neuron	CL:0000110
Peptidergic neurons	CL:0000110
columnar neuron	CL:0000112
mononuclear phagocyte	CL:0000113
Mononuclear Phagocytes	CL:0000113
mononuclear monocytic/phagocytic cells	CL:0000113
MP cells	CL:0000113
surface ectodermal cell	CL:0000114
surface ectoderm cell	CL:0000114
cell of surface ectoderm	CL:0000114
endothelial cell	CL:0000115
endotheliocyte	CL:0000115
endothelial cells	CL:0000115
ECs	CL:0000115
EC	CL:0000115
mesenchymal, endothelial, and immune cells	CL:0000115
immune, endothelial, and neural (Schwann) cells	CL:0000115
endothelial	CL:0000115
Endo	CL:0000115
endothelial and hematopoietic cell	CL:0000115
Endophyllal	CL:0000115
endothelial and macrophage	CL:0000115
myeloid, endothelial, and smooth muscle cells	CL:0000115
E	CL:0000115
End	CL:0000115
pioneer neuron	CL:0000116
CNS neuron (sensu Vertebrata)	CL:0000117
basket cell	CL:0000118
chandelier and basket interneuron	CL:0000118
basket and stellate interneurons	CL:0000118
basket cells	CL:0000118
cerebellar Golgi cell	CL:0000119
Golgi neuron	CL:0000119
cerebellar Golgi neuron	CL:0000119
Golgi cell	CL:0000119
cerebellum Golgi cell	CL:0000119
granule cell	CL:0000120
Purkinje cell	CL:0000121
Purkinje neuron	CL:0000121
cerebellar Purkinje cell	CL:0000121
Purkinje cells	CL:0000121
Purkinje neurons	CL:0000121
stellate neuron	CL:0000122
neuron associated cell (sensu Vertebrata)	CL:0000123
glial cell	CL:0000125
neuroglial cell	CL:0000125
Glial	CL:0000125
neuroectoderm and glia to central nervous system (CNS) neurons	CL:0000125
glia	CL:0000125
glial cells	CL:0000125
non-glioma brain cells	CL:0000125
neuroglial	CL:0000125
glial and vascular endothelial cells	CL:0000125
neuronal and glial cell	CL:0000125
macroglial cell	CL:0000126
macrogliocyte	CL:0000126
macroglia	CL:0000126
astrocyte	CL:0000127
astrocytic glia	CL:0000127
astrocytes	CL:0000127
Astro	CL:0000127
AC	CL:0000127
astrocytic cell	CL:0000127
astroglia	CL:0000127
astrocytic	CL:0000127
ASC	CL:0000127
Astroglial	CL:0000127
Ast	CL:0000127
astroglial or microglial cells	CL:0000127
oligodendrocyte	CL:0000128
OLs	CL:0000128
oligodendrocytes	CL:0000128
OL	CL:0000128
oligodendroglia	CL:0000128
MOL	CL:0000128
mature oligodendrocyte	CL:0000128
oligodendrocyte cell	CL:0000128
oligodendrocytic	CL:0000128
OLG	CL:0000128
OGC	CL:0000128
oligo	CL:0000128
oligodendroglial	CL:0000128
oligodendroglial cells	CL:0000128
microglial cell	CL:0000129
microgliocyte	CL:0000129
brain-resident macrophage	CL:0000129
hortega cells	CL:0000129
sMicroglia	CL:0000129
s-phase microglia	CL:0000129
microglia	CL:0000129
MG	CL:0000129
phagocytic innate immune cells	CL:0000129
MG and MPhi	CL:0000129
microglial cells	CL:0000129
microglia cells	CL:0000129
vascular (H), microglial (I), and lymphoid (J) cells	CL:0000129
microglial	CL:0000129
MAC2+ cells	CL:0000129
MAC2+ microglia	CL:0000129
MAC2+ progenitors	CL:0000129
micro	CL:0000129
microglia & macrophages	CL:0000129
Mic_Mac	CL:0000129
astroglial or microglial cells	CL:0000129
neuron associated cell (sensu Nematoda and Protostomia)	CL:0000130
gut endothelial cell	CL:0000131
corneal endothelial cell	CL:0000132
neurectodermal cell	CL:0000133
neurectoderm cell	CL:0000133
mesenchymal stem cell	CL:0000134
Mesenchymal stem cells	CL:0000134
MSCs	CL:0000134
mesenchymal	CL:0000134
MSC	CL:0000134
MSSCs	CL:0000134
Mesenchymal stem/stromal cells	CL:0000134
MSC-sEV	CL:0000134
hMSCs	CL:0000134
hMSC	CL:0000134
immune and mesenchymal stem cells	CL:0000134
multipotent mesenchymal progenitors	CL:0000134
multipotent mesenchymal cells	CL:0000134
mesenchymal cells	CL:0000134
multipotential mesenchymal progenitor cells	CL:0000134
MSC cell	CL:0000134
Cd34-lineage mesenchymal cells	CL:0000134
mesenchymal stromal cells	CL:0000134
mesenchymal stromal/stem cells	CL:0000134
fibrocyte	CL:0000135
adipocyte	CL:0000136
fat cell	CL:0000136
adipose cell	CL:0000136
adipocytes	CL:0000136
mature and pre-adipocytes	CL:0000136
adipogenic	CL:0000136
adipocytic	CL:0000136
Adip	CL:0000136
osteocyte	CL:0000137
osteocytes	CL:0000137
osteoblastic and osteocytic cells	CL:0000137
chondrocyte	CL:0000138
cartilage cell	CL:0000138
chondrocytes	CL:0000138
condrocytes	CL:0000138
odontocyte	CL:0000140
cementocyte	CL:0000141
hyalocyte	CL:0000142
hyalocytes	CL:0000142
guidepost cell	CL:0000143
professional antigen presenting cell	CL:0000145
APCs	CL:0000145
APC	CL:0000145
professional antigen-presenting cells	CL:0000145
antigen-presenting cells	CL:0000145
antigen presenting cells	CL:0000145
antigen-presenting cell	CL:0000145
professional antigen presenting cells	CL:0000145
simple columnar epithelial cell	CL:0000146
columnar epithelial cells	CL:0000146
pigment cell	CL:0000147
chromatophore	CL:0000147
chromatocyte	CL:0000147
melanocyte	CL:0000148
melanocytes	CL:0000148
Mel	CL:0000148
MELAN	CL:0000148
Melano	CL:0000148
visual pigment cell	CL:0000149
glandular secretory epithelial cell	CL:0000150
glandular epithelial cell	CL:0000150
Epi	CL:0000150
epithelial glandular cells	CL:0000150
Gland	CL:0000150
glandular epithelial cells	CL:0000150
secretory cell	CL:0000151
absorptive and secretory cells	CL:0000151
exocrine cell	CL:0000152
glycosaminoglycan secreting cell	CL:0000153
GAG secreting cell	CL:0000153
protein secreting cell	CL:0000154
peptic cell	CL:0000155
gastric chief cell	CL:0000155
zymogenic cell	CL:0000155
chief cell of stomach	CL:0000155
pepsinogen secreting cell	CL:0000155
surfactant secreting cell	CL:0000157
club cell	CL:0000158
Clara cell	CL:0000158
club (Clara) cell	CL:0000158
CC	CL:0000158
club cells	CL:0000158
club and multiciliated cells	CL:0000158
seromucus secreting cell	CL:0000159
goblet cell	CL:0000160
chalice cell	CL:0000160
Goblet cells	CL:0000160
goblet	CL:0000160
parietal cell	CL:0000162
gastric parietal cell	CL:0000162
oxyntic cell	CL:0000162
endocrine cell	CL:0000163
endocrinocyte	CL:0000163
endocrine cells	CL:0000163
hormone-producing cells	CL:0000163
committed (progenitor) and endocrine cells	CL:0000163
enteroendocrine cell	CL:0000164
Enteroendocrine cells	CL:0000164
enteroendocrine and Tuft cells	CL:0000164
neuroendocrine cell	CL:0000165
neuroendocrine	CL:0000165
Lymphaticendophyllia, Mesothelial and Neuroendocrine cells	CL:0000165
Neuroendocrine cells	CL:0000165
NendC	CL:0000165
NE cell	CL:0000165
NE	CL:0000165
NE cells	CL:0000165
chromaffin cell	CL:0000166
phaeochromocyte	CL:0000166
Chromaffin cells	CL:0000166
peptide hormone secreting cell	CL:0000167
insulin secreting cell	CL:0000168
type B pancreatic cell	CL:0000169
B-cell of pancreatic islet	CL:0000169
pancreatic B cell	CL:0000169
pancreatic beta cell	CL:0000169
beta cell of pancreatic islet	CL:0000169
insulin-secreting cell	CL:0000169
pancreatic B-cell	CL:0000169
pancreatic islet core	CL:0000169
type B enteroendocrine cell	CL:0000169
beta cell	CL:0000169
beta cells	CL:0000169
beta, delta and PP cells	CL:0000169
pancreatic beta cells	CL:0000169
alpha- and/or beta-cell	CL:0000169
alpha and beta cell	CL:0000169
beta-cell	CL:0000169
Pancreatic beta-cells	CL:0000169
beta-cells	CL:0000169
Insulin producing B cells	CL:0000169
alpha- and beta-cells	CL:0000169
beta-, alpha-, and other delta-cells	CL:0000169
islet alpha- and beta-cell	CL:0000169
insulin-producing cells	CL:0000169
IPCs	CL:0000169
glucagon secreting cell	CL:0000170
glucagon-secreting cell	CL:0000170
pancreatic A cell	CL:0000171
pancreatic alpha cell	CL:0000171
alpha cell of islet of Langerhans	CL:0000171
alpha cells	CL:0000171
PANCREAS ALPHA CELL	CL:0000171
islet alpha cells	CL:0000171
alpha- and/or beta-cell	CL:0000171
alpha-cell	CL:0000171
alpha and beta cell	CL:0000171
alpha-cells	CL:0000171
alpha- and delta-cells	CL:0000171
alpha- and beta-cells	CL:0000171
beta-, alpha-, and other delta-cells	CL:0000171
islet alpha- and beta-cell	CL:0000171
somatostatin secreting cell	CL:0000172
pancreatic D cell	CL:0000173
somatostatin-secreting pancreatic cell	CL:0000173
delta cell of pancreatic islet	CL:0000173
pancreatic D-cell	CL:0000173
pancreatic delta cell	CL:0000173
D-cell of pancreatic islet	CL:0000173
delta cell of islet	CL:0000173
beta, delta and PP cells	CL:0000173
pancreatic delta cells	CL:0000173
alpha- and delta-cells	CL:0000173
delta-cells	CL:0000173
delta-cell	CL:0000173
beta-, alpha-, and other delta-cells	CL:0000173
delta cell	CL:0000173
steroid hormone secreting cell	CL:0000174
luteal cell	CL:0000175
corpus luteum cell	CL:0000175
lutein cell	CL:0000175
ecdysteroid secreting cell	CL:0000176
testosterone secreting cell	CL:0000177
Leydig cell	CL:0000178
interstitial cell of Leydig	CL:0000178
Leydig cells	CL:0000178
testicular interstitial cells	CL:0000178
progesterone secreting cell	CL:0000179
estradiol secreting cell	CL:0000180
hepatocyte	CL:0000182
hepatocytes	CL:0000182
liver cells	CL:0000182
hepatic	CL:0000182
hematopoietic, pancreatic, and hepatic cell	CL:0000182
PHHs	CL:0000182
contractile cell	CL:0000183
myoepithelial cell	CL:0000185
basket epithelial cell	CL:0000185
myoepitheliocyte	CL:0000185
MEC	CL:0000185
myoepithelial cells	CL:0000185
myofibroblast cell	CL:0000186
MFB	CL:0000186
Myofibroblasts	CL:0000186
Myof	CL:0000186
myofibroblast	CL:0000186
muscle cell	CL:0000187
myocyte	CL:0000187
muscle fiber	CL:0000187
myocytes	CL:0000187
cell of skeletal muscle	CL:0000188
skeletal muscle cell	CL:0000188
skeletal myocytes	CL:0000188
slow muscle cell	CL:0000189
type I, IIa, and IIb fibers	CL:0000189
type I and IIa fibers	CL:0000189
fast muscle cell	CL:0000190
glycolytic muscle fiber	CL:0000190
smooth muscle cell	CL:0000192
smooth muscle fiber	CL:0000192
SMCs	CL:0000192
myocytes, smooth muscle	CL:0000192
smooth muscle cells	CL:0000192
SMC	CL:0000192
Smo	CL:0000192
smooth muscle	CL:0000192
myeloid, endothelial, and smooth muscle cells	CL:0000192
Epithelial-Nk, T/Nk and SMC cells	CL:0000192
cardiac muscle cell (sensu Arthopoda)	CL:0000193
insect flight muscle cell	CL:0000196
sensory receptor cell	CL:0000197
receptor cell	CL:0000197
pain receptor cell	CL:0000198
nocireceptor	CL:0000198
nociceptor	CL:0000198
nociceptors	CL:0000198
mechanoreceptor cell	CL:0000199
mechanosensory cell	CL:0000199
touch receptor cell	CL:0000200
auditory hair cell	CL:0000202
HCs	CL:0000202
hair cells	CL:0000202
POU4F3+ hair cell	CL:0000202
Auditory sensory hair cells	CL:0000202
gravity sensitive cell	CL:0000203
acceleration receptive cell	CL:0000204
thermoreceptor cell	CL:0000205
chemoreceptor cell	CL:0000206
olfactory receptor cell	CL:0000207
Schultze's cell	CL:0000207
odorant receptor cell	CL:0000207
olfactory receptor neuron	CL:0000207
olfactory sensory neuron	CL:0000207
AOB neurons	CL:0000207
ORN	CL:0000207
ORNs	CL:0000207
pH receptor cell	CL:0000208
taste receptor cell	CL:0000209
taste bud cell	CL:0000209
taste cells	CL:0000209
taste cell	CL:0000209
photoreceptor cell	CL:0000210
electrically active cell	CL:0000211
absorptive cell	CL:0000212
lining cell	CL:0000213
boundary cell	CL:0000213
synovial cell	CL:0000214
synoviocyte	CL:0000214
synovial tissue cells	CL:0000214
barrier cell	CL:0000215
Sertoli cell	CL:0000216
Sertoli cells	CL:0000216
insulating cell	CL:0000217
myelinating Schwann cell	CL:0000218
neurilemmal cell	CL:0000218
motile cell	CL:0000219
ectodermal cell	CL:0000221
ectoderm cell	CL:0000221
ectodermal cells	CL:0000221
mesodermal cell	CL:0000222
mesoblast	CL:0000222
mesoderm cell	CL:0000222
mesodermal	CL:0000222
mesodermal cells	CL:0000222
mesoderm	CL:0000222
endodermal cell	CL:0000223
endoderm cell	CL:0000223
endoderm	CL:0000223
endoderm cells	CL:0000223
endodermal cells	CL:0000223
anucleate cell	CL:0000225
non-nucleated cell	CL:0000225
anucleate cells	CL:0000225
single nucleate cell	CL:0000226
binucleate cell	CL:0000227
multinucleate cell	CL:0000228
polynuclear cells	CL:0000228
multinucleated cells	CL:0000228
erythrocyte	CL:0000232
RBC	CL:0000232
red blood cell	CL:0000232
erythrocytes	CL:0000232
red blood cells	CL:0000232
RBCs	CL:0000232
red cell	CL:0000232
cf-RBCs	CL:0000232
cf-RBC	CL:0000232
c-RBCs	CL:0000232
mature erythrocyte	CL:0000232
platelet	CL:0000233
blood platelet	CL:0000233
anucleate thrombocyte	CL:0000233
enucleate thrombocyte	CL:0000233
platelets	CL:0000233
PLT	CL:0000233
phagocyte	CL:0000234
phagocytes	CL:0000234
macrophage	CL:0000235
histiocyte	CL:0000235
macrophages	CL:0000235
immature monocyte/macrophages	CL:0000235
MFs	CL:0000235
M0, 1.41 (+-0.20) for M1 and 1.69 (+-0.13) for M2 macrophages	CL:0000235
M0 and M2 macrophages	CL:0000235
MF	CL:0000235
Macrophages M0	CL:0000235
M	CL:0000235
phagocytic innate immune cells	CL:0000235
MG and MPhi	CL:0000235
Mono/Macro	CL:0000235
monocytes and macrophages	CL:0000235
monocyte-derived macrophages	CL:0000235
MdMacro	CL:0000235
Mphi	CL:0000235
MAC	CL:0000235
Macrophages.M0	CL:0000235
macrophage cell	CL:0000235
autophagy deficient macrophages	CL:0000235
endothelial and macrophage	CL:0000235
Mphis	CL:0000235
CD68+ macrophages	CL:0000235
macrophage cells	CL:0000235
tissue macrophages	CL:0000235
Testicular Macrophage	CL:0000235
Ma	CL:0000235
iNOS-positive macrophage	CL:0000235
CD206-positive macrophage	CL:0000235
M0 macrophages	CL:0000235
macrophage/monocyte cells	CL:0000235
bone marrow-derived monocytes or macrophages	CL:0000235
monocyte-macrophage	CL:0000235
MOs	CL:0000235
MO	CL:0000235
CD68 + macrophages	CL:0000235
Mc	CL:0000235
microglia & macrophages	CL:0000235
Mic_Mac	CL:0000235
monocytes & macrophages	CL:0000235
Mon_Mac	CL:0000235
B cell	CL:0000236
B-lymphocyte	CL:0000236
B lymphocyte	CL:0000236
B-cell	CL:0000236
B_ Cell	CL:0000236
B cells	CL:0000236
B lymphocytes	CL:0000236
B-cells	CL:0000236
